requestNumber,actionId,actionType,beginDate,endDate,requestID,requestId,requestTitle,pi,piInstitution,piUsername,fos,fosTypeId,opportunity,allocationType,abstract,updateDate
NAIRR240007,161179,New,4/22/24,10/22/24,1256555,1256555,Investigating Security Issues in Instruction-Tuned Large Language Code Models,"Hei, Xiali",University of Louisiana at Lafayette,0000-0002-2438-5430,Other Computer and Information Sciences,502099,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"The incorporation of AI coding tools into software engineering workflows raises significant security concerns. Malicious user prompts or training data attacks may result in AI-generated code containing software backdoors, logic corruption, unauthorized code execution, and other malicious behavior or software exploits. Previous studies have primarily focused on evaluating the robustness of large pre-trained code models like CodeBERT, GraphCodeBERT, and CodeT5 against adversarial examples in tasks such as code clone detection, vulnerability identification, and authorship attribution. However, security issues in advanced and instruction-tuned code LLMs like WizardCoder and CodeLlama have yet to be investigated.

To address this gap, the project aims to systematically uncover novel vulnerabilities and attack vectors introduced by instruction-tuned code LLMs, providing fundamental insights into their implications for cybersecurity and AI-incorporated software engineering workflows. The proposed work represents the first comprehensive investigation into the risks of code injection attacks against instruction-tuned code LLMs. Furthermore, we will develop a technique for identifying adversarial threats against instruction-tuned code LLMs, involving the detection of adversarially manipulated inputs and generated code before execution.",2024-04-26T12:55:13.421Z
NAIRR240008,170056,New,4/22/24,10/22/24,1264626,1264626,"Developing Trustworthy, Robust AI models for Science using Privacy Preserving Federated Learning","Ravi, Madduri",Argonne National Laboratory,nairr-user-xxx,Computer Science,502093,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"Federated learning (FL) is a collaborative learning approach where multiple data owners, referred to as clients, train a model together under the orchestration of a central server by sharing the model trained on their local datasets instead of sharing the data directly. FL enables creation of more robust models without the exposure of local datasets. However, FL by itself, does not guarantee the privacy of data, because the information extracted from the communication of FL algorithms can be accumulated and utilized to infer the private local data used for training. We developed Argonne Privacy Preserving Federated Learning framework (APPFL), with advances in differential privacy, to enable Privacy-Preserving Federated Learning (PPFL). We enabled training of AI models in a distributed setting across multiple institutions, where sensitive data are located, with the ability to scale on supercomputing resources to help create robust, trust-worthy AI models in biomedicine and smart grid applications where data privacy is essential. Setting up a secure federated learning experiment that needs high performance computational resources across distributed sites requires technical capabilities that may not be available for all. To lower the barrier to entry for leveraging PPFL and to enable domain experts in large institutions to utilize FL, we created the Argonne Privacy-Preserving Federated Learning as a service (APPFLx), which enables cross-silo PPFL using easy to use web interface for managing, deploying, analyzing, and visualizing PPFL experiments. 

APPFLx enables secure federations using end-to-end strong Identity and Access Management, where members can create a new federation or join an existing federation using their institutional identities, perform privacy-preserving training on datasets at their respective institutions and securely share the model weights with the service to enable secure aggregation. Existing PPFL frameworks typically involve downloading and configuring complex software, manually creating trust boundaries and identities to enable gradient aggregation, understanding of technical details of underlying deep learning software stack to enable distributed training which is cumbersome. 

APPFLx features include secure distributed training on heterogenous computing resources, choice of over half a dozen federation strategies, including synchronous and asynchronous strategies, integration with TensorBoard capabilities, interfaces to examine data distributions and resource consumption across different sites, detailed reports of different experiments, ability to use model architectures from GitHub or pre-trained models from HuggingFace model repository and the ability to set different hyperparameters of the experiments (like privacy budget to be used in training). 

In this proposal, we aim to create new AI models, fine-tune existing LLMs for biomedical tasks, evaluate various communication, privacy and performance issues inherent in FL.",2024-04-26T14:37:37.922Z
NAIRR240009,170059,New,4/22/24,10/22/24,1264629,1264629,Enhancing Generalization for Detecting AI-Synthesized Fake Multimedia,"Shu, Hu",Purdue University in Indianapolis,nairr-user-xxx,Computer Science,502093,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"DeepFake, a term increasingly mentioned in the news and social media, refers to highly realistic fake images, audios, and videos created using AI algorithms.  By creating illusions of an individual's activities that did not occur in reality, DeepFakes can cause serious harm when they are weaponized. The recent detectors often show good results in intra-domain testing,  where training and testing data are generated using identical forgery techniques. However, real-world scenarios often involve testing data created via unknown forgery methods, differing from the training data. This discrepancy leads to subpar cross-domain detection performance, exemplifying the generalization problem in DeepFake detection. This issue poses a major hurdle for the practical application of existing detection methods. Without such generalization, the current DeepFake detection methods are failing to recognize DeepFakes generated by DeepFake makers using new or evolving techniques and therefore are susceptible to obsolescence easily. This project requests the NAIRR Pilot resources to enhance generalization in detecting novel DeepFakes, aligning with NAIRR's focus area on advancing Safe, Secure and Trustworthy AI and the core research aim of Improving accuracy, validity, and reliability of model performance, while controlling bias. The project's findings will be disseminated through publications in prestigious conferences and journals. All algorithms developed throughout this project will be made openly accessible as open-source software on GitHub.",2024-04-26T14:37:37.922Z
NAIRR240010,170051,New,4/22/24,10/22/24,1264621,1264621,"Training Foundation Models from Private, Federated Client Data","Fanti, Giulia",Carnegie Mellon University,nairr-user-xxx,Artificial Intelligence and Intelligent Systems,502096,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"Federated learning (FL) is arguably the most widely-adopted paradigm today for training machine learning models from private, on-device client data. However, with the rise of large language models, many models are too large to fit and train on-device in FL pipelines. Various solutions have been explored, including training sparse subsets of parameters on-device. In this proposal, we study a different paradigm for training foundation models from distributed, private client data: private synthetic data. We aim to study whether distributed clients can help a central server generate private synthetic data that can be used to centrally fine-tune foundation models. We hypothesize that this approach can be used to train private language models much more cheaply than  with FL.",2024-04-26T14:37:37.922Z
NAIRR240011,170055,New,4/22/24,10/22/24,1264625,1264625,Generative Artificial Intelligence and Racial Bias in Disease Representation,"Mankowski, Michal",NYU Langone,nairr-user-xxx,Clinical Medicine,502061,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"This research proposal aims to expand upon the ongoing study on generative Artificial Intelligence (genAI) and racial/sex bias, which investigates the depiction of patients with various diseases by genAI. We will study a broad range of diseases, particularly those with historical stigmatization, and incorporate a wide range of various AI models. The study will examine the sensitivity of genAI to linguistic framing of prompts in the context of different diseases such as cancer, diabetes, syphilis, etc. The research can potentially reveal important insights into understanding and mitigating racial biases and historical stigmatization in AI disease representation.",2024-04-26T14:37:37.922Z
NAIRR240012,170057,New,4/22/24,10/22/24,1264627,1264627,Aligning with Human Preferences for Safe Autonomous Systems,"Sadigh, Dorsa",Stanford University,nairr-user-xxx,Computer Science,502093,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"Reinforcement Learning from Human Feedback (RLHF) has emerged as a popular paradigm for aligning models with human intent. In this work, we study the problem of learning robot policies and reward functions that are aligned with societal scale objectives and human preferences. This ensures the robot policies learned satisfy desirable safety specifications and can robustly act and interact in human spaces. We plan to leverage and refine large vision-language models that can act as proxy preferences of humans via human feedback. Specifically, we will pretrain and adapt robot policies initialized with these VLMs to achieve the alignment objective. Finally, we will evaluate these policies on real robotic hardware for assistive and home robotics tasks with 7-DoF manipulators.",2024-04-26T14:37:37.922Z
NAIRR240016,170064,New,4/22/24,10/22/24,1264634,1264634,Exploring Backdoor Attacks in Off-the-Shelf Unsupervised Domain Adaptation for Securing Medical Image Analysis,"Liu, Xiaofeng",Massachusetts General Hospital,nairr-user-xxx,"Informatics, Analytics and Information Science",502099,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"Recently, the off-the-shelf model for unsupervised domain adaptation (OSUDA) has been introduced to protect patient data privacy and intellectual property of the source domain without access to the labeled source domain data. Yet, our recent works found that an off-the-shelf (OS) diagnosis model, deliberately compromised by backdoor/Trojan attacks during the source domain training phase, can function as a parasite-host, disseminating the backdoor to the target domain model during the OSUDA stage. Therefore, backdoor attacks can pose a serious threat to the reliability of the target domain medical analysis systems. To our knowledge, this is the pioneer attempt at addressing backdoor attacks in medical image analysis for OSUDA. In this project, we propose to quantify the channel-wise backdoor sensitivity, and eliminate the backdoor infection by overwriting the backdoor-related channels to cut-off the infection. If it is successful, the project will have great potential to achieve a secured, privacy-protected, and cross-center generalizable AI system for medical image analysis.",2024-04-26T14:37:37.922Z
NAIRR240020,167306,New,4/22/24,10/22/24,1262279,1262279,Energy-based Robust and Safe Reinforcement Learning Via Diffusion Models,"Chen, Haipeng",William & Mary,0000-0003-0572-8888,Artificial Intelligence and Intelligent Systems,502096,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"This proposal aims to improve the existing MaxEnt Reinforcement Learning algorithm S2AC (Messaoud et al., 2024) by replacing the SVGD policy with a Diffusion Model-based policy. Since Diffusion Models are a class of generative models that are practically more stable than SVGD, we conjecture that the performance, especially robustness and safety of S2AC would be significantly enhanced by replacing the SVGD policy with Diffusion Model.",2024-05-02T18:06:23.053Z
NAIRR240021,167470,New,4/22/24,10/22/24,1262408,1262408,Determining an optimal initial fluid rescucitation regime for patients with sepsis using machine learning,"Shteyler, Vadim","University of California, San Francisco",nairr-user-43gxm,Clinical Medicine,502061,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"I am a postdoctoral trainee on a TL1 grant doing research and learning machine learning tools for causal inference. This research aims to reduce mortality in patients with sepsis, a heterogenous life-threatening response to infection characterized by organ dysfunction and immune dysregulation; it impacts millions of people annually worldwide and has a 15-30% mortality. Early intravenous fluid administration and vasopressors remain the hallmarks of sepsis-associated hypotension and shock treatment. However, high-quality evidence for any specific initial fluid resuscitation strategy is lacking. Nonetheless, Surviving Sepsis Campaign (SSC) guidelines and the Centers for Medicare and Medicaid Services (CMS) Severe Sepsis/Septic Shock Early Management Bundle (SEP-1) recommend an initial 30 cc/Kg ideal body weight (IBW) fluid administration within 3 hours of diagnosis and, if hypotension persists, vasopressor initiation within 6 hours of diagnosis. To determine whether this approach is, indeed, beneficial for patients with sepsis, we propose to conduct this retrospective observational cohort study to estimate the average fluid volume and administration rate that is associated with the lowest hospital mortality for most patients, using Targeted Maximum Likelihood Estimation (TMLE) and Longitudinal TMLE (LTMLE) with the ensemble machine learner SuperLearner (SL).",2024-04-26T13:28:48.385Z
NAIRR240023,170061,New,4/22/24,10/22/24,1264631,1264631,Interpretable Bayesian Deep Learning: From Neural Networks to Large Language Models,"Wang, Hao",Rutgers University - New Brunswick,nairr-user-xxx,Artificial Intelligence and Intelligent Systems,502096,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"Interpretability is one of the fundamental obstacles hindering the adoption and deployment of deep learning (DL) systems, from typical deep neural nets like CNNs/RNNs to large language models (LLMs) and large multimodal models (LMMs) like GPT-4(V), across various fields such as healthcare, e-commerce, and manufacturing. An ideal interpretable model should be able to produce symbolic representations understandable by humans (e.g., what diseases and symptoms each variable in the model represents), conform to conditional dependencies in the real world (e.g., whether the customer's purchase is affected by the product's price drop), and handle uncertainty in data (e.g., how certain the model is about the rainfall tomorrow). Unfortunately, DL as a connectionist approach does not natively support any of these desiderata.

This project aims to develop two sets of methodologies grounded in Bayesian deep learning: (1) ""Bayesian Deep Interpreters,"" which will interpret deep learning models through the use of graphical models that describe the conditional dependencies leading to current predictions. (2) ""Bayesian Deep Controllers,"" which will manage the predictions of deep learning models by adjusting specific random variables within the graphical models associated with the controlled models.",2024-04-26T14:37:37.922Z
